.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.41 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.42 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.43 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.44 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.45 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.46 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.47 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.48 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.49 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.10.50 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.1 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.2 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.3 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.4 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.5 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.6 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.7 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.8 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.9 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.10 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.11 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.12 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.13 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.14 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.15 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.16 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.17 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.18 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.19 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.20 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.21 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.22 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.23 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.24 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.25 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.26 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.27 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.28 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.29 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.30 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.31 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.32 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.33 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.34 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.35 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.36 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.37 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.38 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.39 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.40 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.41 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.42 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.43 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.44 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.45 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.46 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.47 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.48 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.49 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.11.50 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.1 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.2 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.3 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.4 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.5 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.6 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.7 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.8 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.9 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.10 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.11 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.12 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.13 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.14 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.15 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.16 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.17 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.18 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.19 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.20 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.21 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.22 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.23 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.24 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.25 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.26 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.27 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.28 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.29 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.30 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.31 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.32 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.33 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.34 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.35 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.36 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.37 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.38 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.39 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.40 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.41 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.42 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.43 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.44 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.45 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.46 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.47 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.48 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.49 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.12.50 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.1 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.2 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.3 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.4 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.5 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.6 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.7 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.8 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.9 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.10 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.11 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.12 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.13 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.14 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.15 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.16 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.17 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.18 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.19 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.20 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.21 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.22 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.23 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.24 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.25 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.26 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.27 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.28 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.29 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.30 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.31 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.32 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.33 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.34 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.35 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.36 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.37 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.38 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.39 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.40 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.41 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.42 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.43 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.44 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.45 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.46 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.47 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.48 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.49 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.13.50 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.1 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.2 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.3 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.4 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.5 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.6 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.7 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.8 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.9 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.10 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.11 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.12 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.13 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.14 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.15 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.16 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.17 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.18 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.19 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.20 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.21 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.22 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.23 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.24 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.25 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.26 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.27 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.28 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.29 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.30 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.31 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.32 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.33 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.34 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.35 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.36 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.37 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.38 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.39 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.40 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.41 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.42 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.43 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.44 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.45 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.46 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.47 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.48 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.49 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.14.50 0:0:00:00.00
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.1 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.2 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.3 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.4 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.5 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.6 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.7 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.8 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.9 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.10 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.11 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.12 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.13 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.14 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.15 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.16 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.17 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.18 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.19 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.20 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.21 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.22 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.23 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.24 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.25 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.26 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.27 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.28 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.29 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.30 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.31 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.32 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.33 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.34 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.35 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.36 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.37 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.38 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.39 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.40 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.41 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.42 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.43 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.44 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.45 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.46 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.47 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.48 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.49 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.15.50 1
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.1 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.2 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.3 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.4 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.5 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.6 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.7 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.8 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.9 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.10 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.11 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.12 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.13 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.14 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.15 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.16 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.17 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.18 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.19 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.20 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.21 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.22 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.23 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.24 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.25 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.26 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.27 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.28 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.29 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.30 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.31 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.32 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.33 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.34 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.35 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.36 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.37 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.38 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.39 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.40 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.41 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.42 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.43 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.44 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.45 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.46 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.47 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.48 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.49 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.16.50 -120
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.1 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.2 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.3 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.4 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.5 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.6 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.7 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.8 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.9 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.10 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.11 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.12 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.13 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.14 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.15 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.16 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.17 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.18 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.19 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.20 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.21 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.22 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.23 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.24 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 "
.1.3.6.1.4.1.4458.1000.1.5.56.5.1.17.25 "00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
